"";"verbatimIdentification";"introduced"
"233";"Rallus longirostris";0
"234";"Quiscalus major";0
"235";"Caprimulgus carolinensis";0
"236";"Leucophaeus atricilla";0
"237";"Haematopus palliatus";0
"238";"Plegadis falcinellus";0
"239";"Tringa semipalmata";0
"240";"Nyctanassa violacea";0
"241";"Egretta caerulea";0
"242";"Ammodramus maritimus";0
"243";"Egretta tricolor";0
"244";"Piranga rubra";0
"245";"Anas platyrhynchos x A. rubripes";0
"246";"Nandayus nenday";1
"247";"Sternula antillarum";0
"248";"Rynchops niger";0
"249";"Plegadis chihi";0
"250";"Gelochelidon nilotica";0
"251";"Sterna forsteri";0
"252";"Vermivora chrysoptera x V. pinus";0
"253";"Sterna dougallii";0
"254";"Ammodramus nelsoni";0
"255";"Laterallus jamaicensis";0
"256";NA;NA
"257";"Somateria mollissima";0
